id_client,secteur_activite,niveau_education
24890,Petit commerce,Sup̩rieur
24891,Commerce/N̩goce,Secondaire
24892,Petit commerce,Primaire
24893,Petit commerce,Secondaire
24894,Salari̩ formel,Secondaire
24895,Salari̩ formel,Sans dipl̫me
24896,Petit commerce,Secondaire
24897,Agriculture,Secondaire
24898,Petit commerce,Secondaire
24899,Petit commerce,Secondaire
24900,Commerce/N̩goce,Secondaire
24901,Petit commerce,Secondaire
24902,Salari̩ formel,Sans dipl̫me
24903,Salari̩ formel,Secondaire
24904,Petit commerce,Primaire
24905,Agriculture,Secondaire
24906,Commerce/N̩goce,Secondaire
24907,Agriculture,Primaire
24908,Agriculture,Sans dipl̫me
24909,Agriculture,Primaire
24910,Agriculture,Sup̩rieur
24911,Salari̩ formel,Primaire
24912,Salari̩ formel,Sup̩rieur
24913,Agriculture,Sup̩rieur
24914,Agriculture,Primaire
24915,Salari̩ formel,Sup̩rieur
24916,Salari̩ formel,Secondaire
24917,Salari̩ formel,Secondaire
24918,Petit commerce,Secondaire
24919,Petit commerce,Primaire
24920,Agriculture,Secondaire
24921,Agriculture,Secondaire
24922,Petit commerce,Secondaire
24923,Agriculture,Primaire
24924,Agriculture,Secondaire
24925,Petit commerce,Sans dipl̫me
24926,Agriculture,Secondaire
24927,Petit commerce,Primaire
24928,Petit commerce,Primaire
24929,Salari̩ formel,Sup̩rieur
24930,Petit commerce,Sup̩rieur
24931,Salari̩ formel,Primaire
24932,Petit commerce,Sans dipl̫me
24933,Petit commerce,Secondaire
24934,Salari̩ formel,Primaire
24935,Petit commerce,Secondaire
24936,Profession lib̩rale,Sup̩rieur
24937,Salari̩ formel,Primaire
24938,Agriculture,Sup̩rieur
24939,Agriculture,Sup̩rieur
24940,Agriculture,Secondaire
24941,Salari̩ formel,Secondaire
24942,Agriculture,Secondaire
24943,Salari̩ formel,Sans dipl̫me
24944,Agriculture,Secondaire
24945,Salari̩ formel,Secondaire
24946,Petit commerce,Secondaire
24947,Petit commerce,Sup̩rieur
24948,Salari̩ formel,Secondaire
24949,Petit commerce,Secondaire
24950,Petit commerce,Primaire
24951,Petit commerce,Sup̩rieur
24952,Salari̩ formel,Secondaire
24953,Salari̩ formel,Primaire
24954,Agriculture,Primaire
24955,Agriculture,Secondaire
24956,Agriculture,Secondaire
24957,Artisanat,Sans dipl̫me
24958,Profession lib̩rale,Secondaire
24959,Agriculture,Primaire
24960,Agriculture,Primaire
24961,Salari̩ formel,Secondaire
24962,Petit commerce,Secondaire
24963,Agriculture,Secondaire
24964,Agriculture,Sans dipl̫me
24965,Agriculture,Sans dipl̫me
24966,Agriculture,Secondaire
24967,Agriculture,Sup̩rieur
24968,Agriculture,Primaire
24969,Petit commerce,Secondaire
24970,Petit commerce,Primaire
24971,Petit commerce,Sup̩rieur
24972,Petit commerce,Secondaire
24973,Salari̩ formel,Sup̩rieur
24974,Agriculture,Primaire
24975,Commerce/N̩goce,Secondaire
24976,Salari̩ formel,Sans dipl̫me
24977,Agriculture,Secondaire
24978,Petit commerce,Sup̩rieur
24979,Salari̩ formel,Primaire
24980,Agriculture,Sans dipl̫me
24981,Salari̩ formel,Sans dipl̫me
24982,Salari̩ formel,Secondaire
24983,Salari̩ formel,Primaire
24984,Salari̩ formel,Sup̩rieur
24985,Commerce/N̩goce,Secondaire
24986,Salari̩ formel,Sans dipl̫me
